nom,adresse,complement_adresse,code_postal,libelle_geographique,adresse_postale,lien,telephone,email,identifiant_deps_à_partir_de_2022,code_du_reseau_de_bibliothèques,coordonnees_gps_lat_lon,departement,source,identifiant_origine,type_equipement_ou_lieu,precision_equipement,region,domaine,nom_du_reseau_de_bibliotheques,services,nom_cmpp,code_cmpp
Médiathèque municipale,88 Cours de Verdun,,01100,Oyonnax,88 Cours de Verdun 01100 Oyonnax France,http://mediatheque.oyonnax.fr/portail/,04 74 81 96 81,,,aucun,"46.260919, 5.648326",Ain,Ministère de la Culture - Service du livre et de la lecture,LI28,bibliothèque,Groupe 1,Auvergne-Rhône-Alpes,Lecture publique,aucun,A,aucun,aucun
Médiathèque de Digne-Les-Bains \,7 rue Colonel Payan,,04000,Digne-les-Bains,7 rue Colonel Payan 04000 Digne-les-Bains France,https://lamediatheque04.fr/,04 92 30 07 64,,,aucun,"44.091687, 6.234144",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI135,Bibliothèque,Groupe 1,Provence-Alpes-Côte d'Azur,Lecture publique,aucun,A,Médiathèque départementale des Alpes de Haute Provence,CMPP04
Médiathèque départementale des Alpes de Haute-Provence,8 Avenue Bad Mergentheim,,04000,Digne-les-Bains,8 Avenue Bad Mergentheim 04000 Digne-les-Bains France,https://lamediatheque04.fr/,04 92 30 07 64,,,aucun,"44.090624, 6.240121",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,BD136,Bibliothèque,Réseau départemental,Provence-Alpes-Côte d'Azur,Lecture publique,aucun,A,Médiathèque départementale des Alpes de Haute Provence,CMPP04
Bibliothèque de La Robine,,,04000,La Robine-sur-Galabre,04000 La Robine-sur-Galabre France,https://lamediatheque04.fr/,04 92 30 07 64,,,aucun,"44.17371, 6.219116",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI17923,Bibliothèque,Groupe 3,Provence-Alpes-Côte d'Azur,Lecture publique,aucun,A,Médiathèque départementale des Alpes de Haute Provence,CMPP04
Saint-Gilles ,349 Rue Saint-Gilles ,,04000,Liège,349 Rue Saint-Gilles 4000 Liège,https://mabibli.be/,,,,aucun,"50.633442, 5.551717",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Séminaire,40 Rue des Prémontrés ,,04000,Liège,40 Rue des Prémontrés 4000 Liège,https://mabibli.be/,,,,aucun,"50.637581, 5.57447",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Chiroux,15 Rue des croisiers ,,04000,Liège,15 Rue des croisiers 4000 Liège,https://mabibli.be/,,,,aucun,"50.639049, 5.575372",,,,bibliothèque,,Belgique,,aucun,AP,Bibliothèques publiques en Province de Liège ,CMPPB101
Centre Multimédia Don Bosco,"Rue des Wallons, 59 ",,04000,Liège,59 Rue des Wallons 4000 Liège,https://mabibli.be/,,,,aucun,"50.6308129, 5.5381029",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Saint-Barthélemy,Place Saint-Barthélemy 9 ,,04000,Liège,9 Place Saint-Barthélemy 4000 Liège,https://mabibli.be/,,,,aucun,"50.647512, 5.58301",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Sainte-Julienne,"Rue des Genêts, 2 ",,04000,Liège,2 Rue des Genêts 4000 Liège,https://mabibli.be/,,,,aucun,"50.6539029, 5.55432",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Sainte-Walburge,"Rue Sainte-Walburge, 209 ",,04000,Liège,209 Rue Sainte-Walburge 4000 Liège,https://mabibli.be/,,,,aucun,"50.659114, 5.567164",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Sclessin,Rue des Pampres,,04000,Liège,Rue des Pampres 4000Liège,https://mabibli.be/,,,,aucun,"50.610653, 5.55331",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Bibliothèque de Xhovémont-Naniot,Bd Léon Philippet 9,,04000,Liège,9 Bd Léon Philippet  4000 Liège,https://mabibli.be/,,,,aucun,"50.652765, 5.561716",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Bibliothèque du Nord (St-Léonard),Pl. Vivegnis 46,,04000,Liège,46 Pl. Vivegnis 4000 Liège,https://mabibli.be/,,,,aucun,"50.652727, 5.589718",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Bibliothèque du Thier-à-Liège,Bd Hector Denis 342,,04000,Liège,342 Bd Hector Denis 4000 Liège,https://mabibli.be/,,,,aucun,"50.662359, 5.593728",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Fétinne,41 Rue de Fétinne ,,04020,Liège,41 Rue de Fétinne 4020 Liège,https://mabibli.be/,,,,aucun,"50.626554, 5.582065",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Saint-Louis-en-Longdoz,20 Rue Alfred Magis ,,04020,Liège,20 Rue Alfred Magis 4020 Liège,https://mabibli.be/,,,,aucun,"50.636154, 5.582035",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Outremeuse,Rue de l'Ourthe 1 ,,04020,Liège,1 Rue de l'Ourthe 4020 Liège,https://mabibli.be/,,,,aucun,"50.638717, 5.58261",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Bibliothèque publique Saint-Remacle,"Rue d'Amercoeur, 24 ",,04020,Liège,24  Rue d'Amercoeur 4020 Liège,https://mabibli.be/,,,,aucun,"50.636905, 5.589911",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Jupille,"Rue Chafnay, 2",,04020,Liège,"2 Rue Chafnay, 4020 Liège",https://mabibli.be/,,,,aucun,"50.644763, 5.635559",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Bibliothèque de Droixhe-Bressoux,Pl. de la Libération 2,,04020,Liège,2 Pl. de la Libération 4020 Liège,https://mabibli.be/,,,,aucun,"50.647038, 5.606091",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Bibliothèque de Wandre,Rue de Visé 832,,04020,Liège,832 Rue de Visé 4020 Liège,https://mabibli.be/,,,,aucun,"50.670887, 5.661899",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Bibliothèque publique de Robermont,"Rue des Fortifications, 10 ",,04030,Liège,10 Rue des Fortifications 4030 Liège,https://mabibli.be/,,,,aucun,"50.631717, 5.603378",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Saint-Lambert,45 Rue du Beau Mur,,04030,GRIVEGNEE,45 Rue du Beau Mur 4030 GRIVEGNEE,https://mabibli.be/,,,,aucun,"50.629592, 5.588553",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Grivegnée,Grivegnée,,04030,Liège,Grivegnée 4030Liège,https://mabibli.be/,,,,aucun,"50.621599, 5.599755",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Angleur,Angleur,,04031,Liège,Angleur 4031 Liège,https://mabibli.be/,,,,aucun,"50.611016, 5.599845",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Bibliothèque d'Angleur,"Place Andréa Jadoulle, 14",,04031,Liège,"14 Place Andréa Jadoulle, 4031 Liège",https://mabibli.be/,,,,aucun,"45.66958, 4.753633",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Bibliothèque de Chênée,Rue de l'Église 60,,04032,Liège,60 Rue de l'Église 4032 Liège,https://mabibli.be/,,,,aucun,"50.6114997864, 5.6170554161",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Les Monts,Avenue Louis De Brouckère 18,,04040,HERSTAL,18 Avenue Louis De Brouckère 4040 HERSTAL,https://mabibli.be/,,,,aucun,"50.6670169, 5.6326577",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Wauters,"Avenue Cité Wauters, 35",,04040,HERSTAL,"35 Avenue Cité Wauters, 4040 HERSTAL",https://mabibli.be/,,,,aucun,"50.6670169, 5.6326577",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
René Henoumont,"Rue Large Voie, 110",,04040,HERSTAL,"110 Rue Large Voie, 4040HERSTAL",https://mabibli.be/,,,,aucun,"50.667059, 5.634773",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Milmort,"Rue de la Résistance, 13",,04041,MILMORT,"13 Rue de la Résistance, 4041 MILMORT",https://mabibli.be/,,,,aucun,"50.6891403198, 5.5922999382",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Vottem,"Rue Vert Vinâve, 7",,04041,VOTTEM,"7 Rue Vert Vinâve, 4041 VOTTEM",https://mabibli.be/,,,,aucun,"50.691096, 5.568218",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Vaux-sous-Chèvremont,"Rue des Combattants, 41",,04051,VAUX-SOUS-CHEVREMONT,"41 Rue des Combattants, 4051 VAUX-SOUS-CHEVREMONT",https://mabibli.be/,,,,aucun,"50.602367, 5.6310139",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Bibliothèque des Littératures d'Aventure,"Voie de l'Air Pur, 106",,04052,BEAUFAYS,106 Voie de l'Air Pur 4052 BEAUFAYS,https://mabibli.be/,,,,aucun,"50.56936, 5.621485",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Beaufays,"Voie de l'Air Pur, 227",,04052,BEAUFAYS,227 Voie de l'Air Pur 4052 BEAUFAYS,https://mabibli.be/,,,,aucun,"50.562935, 5.635624",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Embourg,"Voie de l'Ardenne, 78",,04053,EMBOURG,78 Voie de l'Ardenne 4053 EMBOURG,https://mabibli.be/,,,,aucun,"50.592014, 5.606132",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Bibliothèque d'Embourg,Voie de l'Ardenne 78,,04053,Chaudfontaine,78 Voie de l'Ardenne 4053 Chaudfontaine,https://mabibli.be/,,,,aucun,"50.592796, 5.609859",,,,bibliothèque,,Belgique,,aucun,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Médiathèque d'Herbès - Manosque,rue Du Mont D'or,,04100,Manosque,rue Du Mont D'or 04100 Manosque France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC10,"43.834176, 5.78325",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI137,Bibliothèque,Groupe 1,Provence-Alpes-Côte d'Azur,Lecture publique,Communauté de Commune DLVA,A,Réseau des médiathèques Durance Luberon Verdon,UC10
Bibliothèque-Médiathèque municipale,rue Du Docteur Martel,,04110,Reillanne,rue Du Docteur Martel 04110 Reillanne France,https://lamediatheque04.fr/,04 92 30 07 64,,,aucun,"43.879245, 5.659247",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI144,Bibliothèque,Groupe 3,Provence-Alpes-Côte d'Azur,Lecture publique,-,A,Médiathèque départementale des Alpes de Haute Provence,CMPP04
Bibliothèque de Vachères,Le Village,,04110,Vachères,Le Village 04110 Vachères France,https://lamediatheque04.fr/,04 92 30 07 64,,,aucun,"43.931853, 5.637277",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI16854,Bibliothèque,non renseigné,Provence-Alpes-Côte d'Azur,Lecture publique,-,A,Médiathèque départementale des Alpes de Haute Provence,CMPP04
Médiathèque intercommunale du Castellas,,,04110,Montfuron,04110 Montfuron France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC10,"43.835376, 5.6939",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI14636,Bibliothèque,Groupe 3,Provence-Alpes-Côte d'Azur,Lecture publique,Communauté de Commune DLVA,A,Réseau des médiathèques Durance Luberon Verdon,UC10
Bibliothèque de Peyroules,28 rue de la Mairie,,04120,Peyroules,28 rue de la Mairie 04120 Peyroules France,https://lamediatheque04.fr/,04 92 30 07 64,,,aucun,"43.815471, 6.641422",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI16653,Bibliothèque,Groupe 3,Provence-Alpes-Côte d'Azur,Lecture publique,-,A,Médiathèque départementale des Alpes de Haute Provence,CMPP04
Médiathèque de Castellane,10 Boulevard Saint-Michel,,04120,Castellane,10 Boulevard Saint-Michel 04120 Castellane France,https://lamediatheque04.fr/,04 92 30 07 64,,,aucun,"43.848261, 6.510705",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI130,Bibliothèque,Groupe 2,Provence-Alpes-Côte d'Azur,Lecture publique,-,A,Médiathèque départementale des Alpes de Haute Provence,CMPP04
Bibliothèque de La Palud Sur Verdon,2ème Étage Foyer Rural,,04120,La Palud-sur-Verdon,2ème Étage Foyer Rural 04120 La Palud-sur-Verdon France,https://lamediatheque04.fr/,04 92 30 07 64,,,aucun,"43.805242, 6.338722",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI16652,Bibliothèque,Groupe 3,Provence-Alpes-Côte d'Azur,Lecture publique,-,A,Médiathèque départementale des Alpes de Haute Provence,CMPP04
Neuville,"Chaussée de Marche, 57",,04121,NEUPRE,"57 Chaussée de Marche, 4121 NEUPRE",https://mabibli.be/,,,,aucun,"50.551566, 5.450003",,,,bibliothèque,,Belgique,,,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Plainevaux,"Rue du Centre, 50C",,04122,NEUPRE,"50C Rue du Centre, 4122 NEUPRE",https://mabibli.be/,,,,aucun,"50.5428, 5.521856",,,,bibliothèque,,Belgique,,,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Médiathèque intercommunale de Volx,place Martin Bret,,04130,Volx,place Martin Bret 04130 Volx France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC10,"43.896402, 5.834875",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI14642,Bibliothèque,Groupe 2,Provence-Alpes-Côte d'Azur,Lecture publique,Communauté de Commune DLVA,A,Réseau des médiathèques Durance Luberon Verdon,UC10
Esneux,"Avenue de la Station, 80",,04130,ESNEUX,"80 Avenue de la Station, 4130 ESNEUX",https://mabibli.be/,,,,aucun,"50.530048, 5.572146",,,,bibliothèque,,Belgique,,,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Tilff,"Domaine Brunsode, 2/21",,04130,TILFF,"2/21 Domaine Brunsode, 4130 TILFF",https://mabibli.be/,,,,aucun,"50.56851, 5.586349",,,,bibliothèque,,Belgique,,,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Bibliothèque de Selonnet,Le Village,,04140,Selonnet,Le Village 04140 Selonnet France,https://lamediatheque04.fr/,04 92 30 07 64,,,aucun,"44.376154, 6.309849",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI16929,Bibliothèque,Groupe 3,Provence-Alpes-Côte d'Azur,Lecture publique,-,A,Médiathèque départementale des Alpes de Haute Provence,CMPP04
Bibliothèque  Pierre Magnan,Ancienne École,,04140,Le Vernet,Ancienne École 04140 Le Vernet France,https://lamediatheque04.fr/,04 92 30 07 64,,,aucun,"44.26629, 6.382635",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI16930,Bibliothèque,Groupe 3,Provence-Alpes-Côte d'Azur,Lecture publique,-,A,Médiathèque départementale des Alpes de Haute Provence,CMPP04
Sprimont,"Rue du Centre, 31",,04140,SPRIMONT,"31 Rue du Centre, 4140 SPRIMONT",https://mabibli.be/,,,,aucun,"50.503496, 5.661645",,,,bibliothèque,,Belgique,,,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Sendrogne,"Rue de Sendrogne, 178",,04141,LOUVEIGNE,"178 Rue de Sendrogne, 4141 LOUVEIGNE",https://mabibli.be/,,,,aucun,"50.5240864993, 5.6918910095",,,,bibliothèque,,Belgique,,,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Ludothèque Sprimont,Rue de Sendrogne 178,,04141,Sprimont,178 Rue de Sendrogne 4141 Sprimont,https://mabibli.be/,,,,aucun,"50.503496, 5.661645",,,,bibliothèque,,Belgique,,,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Bibliothèque municipale,Le Village,,04150,Revest-des-Brousses,Le Village 04150 Revest-des-Brousses France,https://lamediatheque04.fr/,04 92 30 07 64,,,aucun,"43.967977, 5.686464",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI16841,Bibliothèque,Groupe 3,Provence-Alpes-Côte d'Azur,Lecture publique,-,A,Médiathèque départementale des Alpes de Haute Provence,CMPP04
Bibliothèque municipale,,,04150,Revest-du-Bion,04150 Revest-du-Bion France,https://lamediatheque04.fr/,04 92 30 07 64,,,aucun,"44.078623, 5.547346",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI145,Bibliothèque,Groupe 3,Provence-Alpes-Côte d'Azur,Lecture publique,-,A,Médiathèque départementale des Alpes de Haute Provence,CMPP04
Bibliothèque de Simiane-La-Rotonde,Le Faubourg,,04150,Simiane-la-Rotonde,Le Faubourg 04150 Simiane-la-Rotonde France,https://lamediatheque04.fr/,04 92 30 07 64,,,aucun,"43.980478, 5.564499",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI16840,Bibliothèque,Groupe 3,Provence-Alpes-Côte d'Azur,Lecture publique,-,A,Médiathèque départementale des Alpes de Haute Provence,CMPP04
Bibliothèque de Banon,,,04150,Banon,04150 Banon France,https://lamediatheque04.fr/,04 92 30 07 64,,,aucun,"44.050918, 5.652002",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI16838,Bibliothèque,Groupe 3,Provence-Alpes-Côte d'Azur,Lecture publique,-,A,Médiathèque départementale des Alpes de Haute Provence,CMPP04
Médiathèque de Château-Arnoux,route Saint-Jean,,04160,Château-Arnoux-Saint-Auban,route Saint-Jean  04160 Château-Arnoux-Saint-Auban France,https://lamediatheque04.fr/,04 92 30 07 64,,,aucun,"44.081025, 5.999466",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI18933,Bibliothèque,Médiathèque municipale,Provence-Alpes-Côte d'Azur,Lecture publique,,A,Médiathèque départementale des Alpes de Haute Provence,CMPP04
Anthisnes,"Grand Route de Liège, 13",,04162,HODY,"13 Grand Route de Liège, 4162 HODY",https://mabibli.be/,,,,aucun,"50.487121, 5.501438",,,,bibliothèque,,Belgique,,,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Bibliothèque d'Allons,,,04170,Allons,04170 Allons France,https://lamediatheque04.fr/,04 92 30 07 64,,,aucun,"43.977047, 6.595649",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI16587,Bibliothèque,Groupe 3,Provence-Alpes-Côte d'Azur,Lecture publique,-,A,Médiathèque départementale des Alpes de Haute Provence,CMPP04
Bibliothèque de Moriez,Cour Du Château,,04170,Moriez,Cour Du Château 04170 Moriez France,https://lamediatheque04.fr/,04 92 30 07 64,,,aucun,"43.960339, 6.467681",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI16619,Bibliothèque,Groupe 3,Provence-Alpes-Côte d'Azur,Lecture publique,-,A,Médiathèque départementale des Alpes de Haute Provence,CMPP04
Médiathèque de Saint-André-Les-Alpes,place Charles Bron,,04170,Saint-André-les-Alpes,place Charles Bron 04170 Saint-André-les-Alpes France,https://lamediatheque04.fr/,04 92 30 07 64,,,aucun,"43.967626, 6.508738",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI16618,Bibliothèque,Groupe 1,Provence-Alpes-Côte d'Azur,Lecture publique,-,A,Médiathèque départementale des Alpes de Haute Provence,CMPP04
Bibliothèque de Thorame,,,04170,Thorame-Basse,04170 Thorame-Basse France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC691,"44.102, 6.484",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI16596,Bibliothèque,Groupe 2,Provence-Alpes-Côte d'Azur,Lecture publique,Bibliothèque du Haut Verdon,A,Médiathèque départementale des Alpes de Haute Provence,CMPP04
Médiathèque intercommunale de Villeneuve,rue Des Rosiers,,04180,Villeneuve,rue Des Rosiers 04180 Villeneuve France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC10,"43.891555, 5.86347",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI14641,Bibliothèque,Groupe 3,Provence-Alpes-Côte d'Azur,Lecture publique,Communauté de Commune DLVA,A,Réseau des médiathèques Durance Luberon Verdon,UC10
Bibliothèque de Hamoir,Rue de Tohogne 14,,04180,Hamoir,14 Rue de Tohogne 4180 Hamoir,https://mabibli.be/,,,,aucun,"45.66958, 4.753633",,,,bibliothèque,,Belgique,,,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Bibliothèque de Comblain-la-Tour,Château du Parc Biron,,04180,Comblain-la-Tour,Château du Parc Biron 4180 Comblain-la-Tour,https://mabibli.be/,,,,aucun,"45.66958, 4.753633",,,,bibliothèque,,Belgique,,,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Médiathèque communautaire des Mées,rue de L'ancien Hôpital,,04190,Les Mées,rue de L'ancien Hôpital 04190 Les Mées France,https://lamediatheque04.fr/,04 92 30 07 64,,,aucun,"44.029875, 5.976024",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI14462,Bibliothèque,Groupe 3,Provence-Alpes-Côte d'Azur,Lecture publique,-,A,Médiathèque départementale des Alpes de Haute Provence,CMPP04
Bibliothèque de Xhoris,Rte de Hamoir 34,,04190,Ferrières,34 Rte de Hamoir 4190 Ferrières,https://mabibli.be/,,,,aucun,"45.66958, 4.753633",,,,bibliothèque,,Belgique,,,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Bibliothèque de Saint-Vincent-Sur-Jabron,Le Village,,04200,Saint-Vincent-sur-Jabron,Le Village 04200 Saint-Vincent-sur-Jabron France,https://lamediatheque04.fr/,04 92 30 07 64,,,aucun,"44.171217, 5.757366",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI16948,Bibliothèque,Groupe 3,Provence-Alpes-Côte d'Azur,Lecture publique,-,A,Médiathèque départementale des Alpes de Haute Provence,CMPP04
Bibliothèque Communale Paul Surtel,4 rue Des Éc,,04200,Peipin,4 rue Des Éc 04200 Peipin France,https://lamediatheque04.fr/,04 92 30 07 64,,,aucun,"44.135802, 5.956393",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI140,Bibliothèque,Groupe 2,Provence-Alpes-Côte d'Azur,Lecture publique,-,A,Médiathèque départementale des Alpes de Haute Provence,CMPP04
Bibliothèque de Saint-Geniez,Le Village,,04200,Saint-Geniez,Le Village 04200 Saint-Geniez France,https://lamediatheque04.fr/,04 92 30 07 64,,,aucun,"44.243852, 6.060541",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI16943,Bibliothèque,Groupe 3,Provence-Alpes-Côte d'Azur,Lecture publique,-,A,Médiathèque départementale des Alpes de Haute Provence,CMPP04
Bibliothèque de Mison,place Ernest Esclangon,,04200,Mison,place Ernest Esclangon 04200 Mison France,https://lamediatheque04.fr/,04 92 30 07 64,,,aucun,"44.267778, 5.858674",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI16944,Bibliothèque,Groupe 3,Provence-Alpes-Côte d'Azur,Lecture publique,-,A,Médiathèque départementale des Alpes de Haute Provence,CMPP04
Médiathèque Andre-Roman,6 Avenue Paul Arene,,04200,Sisteron,6 Avenue Paul Arene 04200 Sisteron France,https://lamediatheque04.fr/,04 92 30 07 64,,,aucun,"44.195506, 5.942923",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI146,Bibliothèque,Groupe 1,Provence-Alpes-Côte d'Azur,Lecture publique,-,A,Médiathèque départementale des Alpes de Haute Provence,CMPP04
Bibliothèque de Valbelle,Salle Alain Pascal,,04200,Valbelle,Salle Alain Pascal 04200 Valbelle France,https://lamediatheque04.fr/,04 92 30 07 64,,,aucun,"44.125178, 5.862187",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI16947,Bibliothèque,Groupe 3,Provence-Alpes-Côte d'Azur,Lecture publique,-,A,Médiathèque départementale des Alpes de Haute Provence,CMPP04
Bibliothèque de Châteauneuf-Val-Saint-Donat,Mairie Le Village,,04200,Châteauneuf-Val-Saint-Donat,Mairie Le Village 04200 Châteauneuf-Val-Saint-Donat France,https://lamediatheque04.fr/,04 92 30 07 64,,,aucun,"44.092907, 5.948774",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI16823,Bibliothèque,Groupe 3,Provence-Alpes-Côte d'Azur,Lecture publique,-,A,Médiathèque départementale des Alpes de Haute Provence,CMPP04
Bibliothèque Paul Maurel de Valensole,,,04210,Valensole,04210 Valensole France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC10,"43.83374, 5.971295",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI151,Bibliothèque,Groupe 2,Provence-Alpes-Côte d'Azur,Lecture publique,Communauté de Commune DLVA,A,Réseau des médiathèques Durance Luberon Verdon,UC10
Burdinne,Rue de la Gare 6,,04210,BURDINNE,6 Rue de la Gare 4210 BURDINNE,https://mabibli.be/,,,,aucun,"50.5777449, 5.0634088",,,,bibliothèque,,Belgique,,,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Héron,Rue Saint-Martin 15,,04217,HERON,15 Rue Saint-Martin 4217 HERON,https://mabibli.be/,,,,aucun,"50.550693512, 5.0977902412",,,,bibliothèque,,Belgique,,,A,Bibliothèques publiques en Province de Liège ,CMPPB101
Médiathèque intercommunale de Corbières,23 rue Des Écoles,,04220,Corbières-en-Provence,23 rue Des Écoles 04220 Corbières-en-Provence France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC10,"43.761379, 5.751421",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI14635,Bibliothèque,Groupe 3,Provence-Alpes-Côte d'Azur,Lecture publique,Communauté de Commune DLVA,A,Réseau des médiathèques Durance Luberon Verdon,UC10
Médiathèque La Passerelle,place de la Libération,,04220,Sainte-Tulle,place de la Libération 04220 Sainte-Tulle France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC10,"43.786444, 5.765202",Alpes-de-Haute-Provence,Ministère de la Culture - Service du livre et de la lecture,LI14640,Bibliothèque,Groupe 2,Provence-Alpes-Côte d'Azur,Lecture publique,Communauté de Commune DLVA,A,Réseau des médiathèques Durance Luberon Verdon,UC10
