nom,adresse,complement_adresse,code_postal,libelle_geographique,adresse_postale,lien,telephone,email,identifiant_deps_à_partir_de_2022,code_du_reseau_de_bibliothèques,coordonnees_gps_lat_lon,departement,type_equipement_ou_lieu,region,nom_du_reseau_de_bibliotheques,nom_de_l_Illustre,surface_bibliotheque,rang,ident,libelle_EPCI,code_insee_epci,demographie_entree,demographie_sortie,demographie_détail,type
Médiathèque municipale,88 Cours de Verdun,,01100,Oyonnax,88 Cours de Verdun 01100 Oyonnax France,http://mediatheque.oyonnax.fr/portail/,04 74 81 96 81,,,-,"46.260919, 5.648326",ain,bibliothèque,auvergne-Rhône-Alpes,,,,,,,,,,,
Médiathèque de Digne-Les-Bains \,7 rue Colonel Payan,,04000,Digne-les-Bains,7 rue Colonel Payan 04000 Digne-les-Bains France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.091687, 6.234144",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Médiathèque départementale des Alpes de Haute-Provence,8 Avenue Bad Mergentheim,,04000,Digne-les-Bains,8 Avenue Bad Mergentheim 04000 Digne-les-Bains France,https://lamediatheque04.fr/,04 92 30 07 64,,,,"44.090624, 6.240121",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de La Robine,,,04000,La Robine-sur-Galabre,04000 La Robine-sur-Galabre France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.17371, 6.219116",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Médiathèque d'Herbès - Manosque,rue Du Mont D'or,,04100,Manosque,rue Du Mont D'or 04100 Manosque France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC10,"43.834176, 5.78325",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque-Médiathèque municipale,rue Du Docteur Martel,,04110,Reillanne,rue Du Docteur Martel 04110 Reillanne France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"43.879245, 5.659247",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Vachères,Le Village,,04110,Vachères,Le Village 04110 Vachères France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"43.931853, 5.637277",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Médiathèque intercommunale du Castellas,,,04110,Montfuron,04110 Montfuron France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC10,"43.835376, 5.6939",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Peyroules,28 rue de la Mairie,,04120,Peyroules,28 rue de la Mairie 04120 Peyroules France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"43.815471, 6.641422",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Médiathèque de Castellane,10 Boulevard Saint-Michel,,04120,Castellane,10 Boulevard Saint-Michel 04120 Castellane France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"43.848261, 6.510705",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de La Palud Sur Verdon,2ème Étage Foyer Rural,,04120,La Palud-sur-Verdon,2ème Étage Foyer Rural 04120 La Palud-sur-Verdon France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"43.805242, 6.338722",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Médiathèque intercommunale de Volx,place Martin Bret,,04130,Volx,place Martin Bret 04130 Volx France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC10,"43.896402, 5.834875",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Selonnet,Le Village,,04140,Selonnet,Le Village 04140 Selonnet France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.376154, 6.309849",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque  Pierre Magnan,Ancienne École,,04140,Le Vernet,Ancienne École 04140 Le Vernet France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.26629, 6.382635",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque municipale,Le Village,,04150,Revest-des-Brousses,Le Village 04150 Revest-des-Brousses France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"43.967977, 5.686464",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque municipale,,,04150,Revest-du-Bion,04150 Revest-du-Bion France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.078623, 5.547346",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Simiane-La-Rotonde,Le Faubourg,,04150,Simiane-la-Rotonde,Le Faubourg 04150 Simiane-la-Rotonde France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"43.980478, 5.564499",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Banon,,,04150,Banon,04150 Banon France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.050918, 5.652002",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Médiathèque de Château-Arnoux,route Saint-Jean,,04160,Château-Arnoux-Saint-Auban,route Saint-Jean  04160 Château-Arnoux-Saint-Auban France,https://lamediatheque04.fr/,04 92 30 07 64,,,,"44.081025, 5.999466",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque d'Allons,,,04170,Allons,04170 Allons France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"43.977047, 6.595649",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Moriez,Cour Du Château,,04170,Moriez,Cour Du Château 04170 Moriez France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"43.960339, 6.467681",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Médiathèque de Saint-André-Les-Alpes,place Charles Bron,,04170,Saint-André-les-Alpes,place Charles Bron 04170 Saint-André-les-Alpes France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"43.967626, 6.508738",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Thorame,,,04170,Thorame-Basse,04170 Thorame-Basse France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC691,"44.102, 6.484",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Médiathèque intercommunale de Villeneuve,rue Des Rosiers,,04180,Villeneuve,rue Des Rosiers 04180 Villeneuve France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC10,"43.891555, 5.86347",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Médiathèque communautaire des Mées,rue de L'ancien Hôpital,,04190,Les Mées,rue de L'ancien Hôpital 04190 Les Mées France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.029875, 5.976024",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Saint-Vincent-Sur-Jabron,Le Village,,04200,Saint-Vincent-sur-Jabron,Le Village 04200 Saint-Vincent-sur-Jabron France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.171217, 5.757366",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque Communale Paul Surtel,4 rue Des Éc,,04200,Peipin,4 rue Des Éc 04200 Peipin France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.135802, 5.956393",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Saint-Geniez,Le Village,,04200,Saint-Geniez,Le Village 04200 Saint-Geniez France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.243852, 6.060541",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Mison,place Ernest Esclangon,,04200,Mison,place Ernest Esclangon 04200 Mison France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.267778, 5.858674",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Médiathèque Andre-Roman,6 Avenue Paul Arene,,04200,Sisteron,6 Avenue Paul Arene 04200 Sisteron France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.195506, 5.942923",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Valbelle,Salle Alain Pascal,,04200,Valbelle,Salle Alain Pascal 04200 Valbelle France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.125178, 5.862187",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Châteauneuf-Val-Saint-Donat,Mairie Le Village,,04200,Châteauneuf-Val-Saint-Donat,Mairie Le Village 04200 Châteauneuf-Val-Saint-Donat France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.092907, 5.948774",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque Paul Maurel de Valensole,,,04210,Valensole,04210 Valensole France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC10,"43.83374, 5.971295",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Médiathèque intercommunale de Corbières,23 rue Des Écoles,,04220,Corbières-en-Provence,23 rue Des Écoles 04220 Corbières-en-Provence France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC10,"43.761379, 5.751421",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Médiathèque La Passerelle,place de la Libération,,04220,Sainte-Tulle,place de la Libération 04220 Sainte-Tulle France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC10,"43.786444, 5.765202",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Lardiers,place  Des Lavandes,,04230,Lardiers,place  Des Lavandes 04230 Lardiers France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC744,"44.057159, 5.712514",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque municipale Saint-etienne Les Orgues,Square Elie Pallet,,04230,Saint-Étienne-les-Orgues,Square Elie Pallet 04230 Saint-Étienne-les-Orgues France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC744,"44.043731, 5.781522",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque D'ongles,Le Village,,04230,Ongles,Le Village 04230 Ongles France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC744,"44.035396, 5.73047",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Braux,1,,04240,Braux,1 04240 Braux France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"43.984281, 6.700168",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque d'Annot,rue Basse,,04240,Annot,rue Basse 04240 Annot France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"43.96651, 6.668146",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Turriers,Centre de Réeducation L'eau Vive,,04250,Turriers,Centre de Réeducation L'eau Vive 04250 Turriers France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.401231, 6.16841",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de La Motte-du-Caire,place Pied de Ville,,04250,La Motte-du-Caire,place Pied de Ville 04250 La Motte-du-Caire France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.343282, 6.028161",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque d'Allos,Grand rue,,04260,Allos,Grand rue 04260 Allos France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC691,"44.240005, 6.628579",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque d'Estoublon  \,Nc rue Grand rue,,04270,Estoublon,Nc rue Grand rue 04270 Estoublon France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"43.942958, 6.171367",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Mézel,8 rue Du Paysan,,04270,Mézel,8 rue Du Paysan 04270 Mézel France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"43.9968, 6.196255",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Senez,Mairie Le Village,,04270,Senez,Mairie Le Village 04270 Senez France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"43.99752570709135, 6.196976479353313",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Médiathèque de Céreste,5 Boulevard Victor Hugo,,04280,Céreste,5 Boulevard Victor Hugo 04280 Céreste France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"43.856108, 5.592157",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque du Château,Le Village,,04290,Volonne,Le Village 04290 Volonne France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.111261, 6.013756",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Limans,place de la Tour-De-Guet,,04300,Limans,place de la Tour-De-Guet 04300 Limans France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC744,"43.984588, 5.731493",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Sigonce,Nc Nc Le Village,,04300,Sigonce,Nc Nc Le Village 04300 Sigonce France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC744,"43.995929, 5.840955",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Réseau de Lecture Publique de Pays de Forcalquier-Montagne D,4 Avenue de L'observatoire,,04300,Forcalquier,4 Avenue de L'observatoire 04300 Forcalquier France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC744,"43.958374, 5.776292",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Saint-Martin-Les-Eaux,Le Château,,04300,Saint-Martin-les-Eaux,Le Château 04300 Saint-Martin-les-Eaux France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"43.874573, 5.734724",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Forcalquier Cbpt,Impasse Des Cordel,,04300,Forcalquier,Impasse Des Cordel 04300 Forcalquier France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"43.964562, 5.784576",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque communautaire Marcelle Jourdan,rue Du Grand Cabaret,,04310,Peyruis,rue Du Grand Cabaret 04310 Peyruis France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.026546, 5.93636",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque d'Entrevaux,place Charles Panier,,04320,Entrevaux,place Charles Panier 04320 Entrevaux France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"43.950005, 6.810135",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Sausses,,,04320,Sausses,04320 Sausses France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.013, 6.787",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Barrême,La Grande Allée,,04330,Barrême,La Grande Allée 04330 Barrême France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"43.952541, 6.366902",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Clumanc,Mairie La Cine,,04330,Clumanc,Mairie La Cine 04330 Clumanc France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.022713, 6.37826",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Blieux,Associatio Ancienne École,,04330,Blieux,Associatio Ancienne École 04330 Blieux France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"43.869631, 6.383622",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque du Lauzet,Mairie Du Lauzet,,04340,Le Lauzet-Ubaye,Mairie Du Lauzet 04340 Le Lauzet-Ubaye France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.426858, 6.436221",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Méolans-Revel,La Fresquière,,04340,Méolans-Revel,La Fresquière 04340 Méolans-Revel France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.400293, 6.508559",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque municipale,,,04340,Ubaye-Serre-Ponçon,04340 Ubaye-Serre-Ponçon France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.455841, 6.302545",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Moustiers-Sainte-Marie,Espace Culturel Christiane Vivier,,04360,Moustiers-Sainte-Marie,Espace Culturel Christiane Vivier 04360 Moustiers-Sainte-Marie France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"43.847435, 6.220789",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque municipale,4 rue Du Col,,04380,Thoard,4 rue Du Col 04380 Thoard France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.150164, 6.147913",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Médiathèque de Barcelonnette,place Pierre-Gilles de Gennes,,04400,Barcelonnette,place Pierre-Gilles de Gennes 04400 Barcelonnette France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.381904, 6.632811",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Puimoisson,Route de Riez,,04410,Puimoisson,Route de Riez 04410 Puimoisson France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC10,"43.862747, 6.126579",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Saint-Jurs,,,04410,Saint-Jurs,04410 Saint-Jurs France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"43.898763, 6.199235",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque municipale Jean Ferrat - Le Brusquet,47 place des Vantaires,,04420,Le Brusquet,47 place des Vantaires  04420 Le Brusquet France,https://lamediatheque04.fr/,04 92 30 07 64,,,,"44.160687, 6.307341",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque municipale Jean Ferrat - Le Brusquet,47 place des Vantaires,,04420,Le Brusquet,47 place des Vantaires  04420 Le Brusquet France,https://lamediatheque04.fr/,04 92 30 07 64,,,,"44.160687, 6.307341",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Prads-Haute-Bléone,Le Village,,04420,Prads-Haute-Bléone,Le Village 04420 Prads-Haute-Bléone France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.21887, 6.443123",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque Alphonse Rabbe,Allées Louis Gardiol,,04500,Riez,Allées Louis Gardiol 04500 Riez France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC10,"43.81746, 6.092344",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Médiathèque intercommunale de Roumoules,place de la Blachette,,04500,Roumoules,place de la Blachette 04500 Roumoules France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC10,"43.824953, 6.130392",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque d'Allemagne En Provence,,,04500,Allemagne-en-Provence,04500 Allemagne-en-Provence France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC10,"43.788197, 6.019385",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Médiathèque intercommunale de Quinson,,,04500,Quinson,04500 Quinson France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC10,"43.70224, 6.039054",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Mallemoisson,place de la Mairie,,04510,Mallemoisson,place de la Mairie 04510 Mallemoisson France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.035703, 6.103604",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque du Chaffaut-Saint-Jurson,,,04510,Le Chaffaut-Saint-Jurson,04510 Le Chaffaut-Saint-Jurson France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.038154, 6.149546",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de La Condamine-Châtelard,9 rue Des Écoles,,04530,La Condamine-Châtelard,9 rue Des Écoles 04530 La Condamine-Châtelard France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.458792, 6.745214",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Champtercier,Le Village,,04660,Champtercier,Le Village 04660 Champtercier France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.111922, 6.149037",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Médiathèque Romain Selsis,Impasse Général Eydoux,,04700,Oraison,Impasse Général Eydoux 04700 Oraison France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC10,"43.91604, 5.917662",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque intercommunale du Castellet,rue de la Carrière,,04700,Le Castellet,rue de la Carrière 04700 Le Castellet France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC10,"43.937729, 5.978868",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Lurs,rue de la Mairie,,04700,Lurs,rue de la Mairie 04700 Lurs France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC744,"43.968157, 5.889609",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Médiathèque \,place Sainte Agathe,,04700,La Brillanne,place Sainte Agathe 04700 La Brillanne France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC10,"43.928158, 5.891045",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Médiathèque intercommunale Lucien Jacques-Gréoux,avenue des Thermes,,04800,Gréoux-les-Bains,avenue des Thermes  04800 Gréoux-les-Bains France,https://lamediatheque04.fr/,04 92 30 07 64,,,,"43.757935, 5.892445",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque intercommunale d'Esparron,Foyer Rural,,04800,Esparron-de-Verdon,Foyer Rural 04800 Esparron-de-Verdon France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC10,"43.752658, 5.940003",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Saint-Martin-de-Brômes,,,04800,Saint-Martin-de-Brômes,04800 Saint-Martin-de-Brômes France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC10,"43.774788, 5.957831",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Jausiers,14 Avenue Des Mexicains,,04850,Jausiers,14 Avenue Des Mexicains 04850 Jausiers France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.418913, 6.733211",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque intercommunale de Pierrevert,,,04860,Pierrevert,04860 Pierrevert France,https://lamediatheque04.fr/,04 92 30 07 64,,,UC10,"43.815638, 5.742321",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Saint-Michel-l'Observatoire,rue Des Remparts,,04870,Saint-Michel-l'Observatoire,rue Des Remparts 04870 Saint-Michel-l'Observatoire France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"43.909504, 5.715035",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque de Venterol,Le Village,,05130,Venterol,Le Village 05130 Venterol France,https://lamediatheque04.fr/,04 92 30 07 64,,,-,"44.446031, 6.087293",Alpes-de-Haute-Provence,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
Bibliothèque des Orres,rue des Villandrins,,05200,Les Orres,rue des Villandrins  05200 Les Orres France,https://bibliotheques.hautes-alpes.fr/,,,,,"44.513718, 6.551655",Hautes-Alpes,Bibliothèque,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
BU Provisoire Droit et Science Politique,28 Av. Emile Henriot,,06000,Nice,"28 Av. Emile Henriot, 06000 Nice",https://bu.univ-cotedazur.fr/fr/bibliotheques/bu-droit-et-science-politique,04 89 15 13 50,,,,"43.693271, 7.24866",Alpes-Maritimes,établissement d'enseignement supérieur,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
BU Médecine Pasteur,28 Av. de Valombrose,,06100,Nice,"28 Av. de Valombrose, 06100 Nice",https://bu.univ-cotedazur.fr/fr/bibliotheques/bu-medecine-pasteur,04 89 15 14 20,,,,"43.720481, 7.263667",Alpes-Maritimes,établissement d'enseignement supérieur,Provence-Alpes-Côte d'Azur,,,,,,,,,,,
